,Feature,IV
0,OPTIN_11SCN_MLOptBin,1.4290002102057666
0,G5_ND_SPECIIOptBin,1.0993498463699172
0,Marital_StatusOptBin,0.7688439148429828
0,SP_F2_33OptBin,0.6713560270690155
0,AFF_B_09_01OptBin,0.59877725837997
0,TRD_A_20OptBin,3.230938230030272e-05
0,SP_I_62_01OptBin,0.09915715841902863
0,TRD_A_08OptBin,0.5025621938398986
0,VM01_SP_VM2_15OptBin,0.525385681283682
0,GEN11_SP_N_92OptBin,0.46446525852471865
0,SP_EDI_24OptBin,0.47970297987748917
0,VM07_SP_VM1_11OptBin,0.5015460690152969
0,ND_ECC_08OptBin,0.4528867679124358
0,CLU_NPR_L1MOptBin,0.1762500449804508
0,TRD_P_12OptBin,0.40155822723301604
0,SP_H_41OptBin,0.4418005765791358
0,G5_ND_SPACIIOptBin,0.3097639612428112
0,TRD_B_24OptBin,0.4271425158286289
0,SP_I_61_01OptBin,0.4327871729625767
0,TRD_O_16OptBin,0.4321134119646798
0,SP_B2_21OptBin,0.4421677901900751
0,TRD_P_11OptBin,0.37330490257695004
0,VM01_SP_VM2_23OptBin,0.3085607700713189
0,SP_G_37OptBin,0.38407389479787674
0,E4_Q_17OptBin,0.34176864848064986
0,TRD_C_07OptBin,0.24881270492326404
0,TRD_C_03OptBin,0.34246304328997673
0,TRD_B_20OptBin,0.05517857473373402
0,SP_B2_18OptBin,0.3219141413952536
0,TRD_B_22OptBin,0.03915408340215448
0,SP_B3_23OptBin,0.32442401930540915
0,TRD_P_10OptBin,0.2839132790314542
0,SPA_F2_33OptBin,0.31440061102056893
0,VM01_SP_VM2_14OptBin,0.3244713166530305
0,TRD_B_19OptBin,0.03502431782502698
0,VM01_SP_VM2_24OptBin,0.29204867919189753
0,SP_G_38OptBin,0.29513656294856644
0,TRD_O_05OptBin,0.10506942408669726
0,SPA_B2_18OptBin,0.28682678234012515
0,E1_A_11OptBin,0.27811246970872233
0,E1_A_09OptBin,0.2799604705243805
0,E1_A_10OptBin,0.24960279837573118
0,PTSBR_L6M_NPR_L6MOptBin,0.07726380461075998
0,E2_H_06OptBin,0.2742905039346334
