Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Feature
"[0, 634.50)",837,0.05699305460983249,625,212,0.2532855436081243,-1.3592219266450156,0.18193660374853365,0.0211386852798978,OPTIN_11SCN_ML
"[634.50, 703.50)",955,0.06502791774479096,756,199,0.20837696335078534,-1.1056507502543638,0.12506151100290536,0.01488211738545648,OPTIN_11SCN_ML
"[703.50, 764.50)",980,0.0667302192564347,824,156,0.15918367346938775,-0.7760727790494697,0.055523338526661366,0.006771326576347733,OPTIN_11SCN_ML
"[764.50, 814.50)",847,0.05767397521448999,737,110,0.12987012987012986,-0.5382797753124839,0.020940010256641852,0.0025863517545744903,OPTIN_11SCN_ML
"[814.50, 859.50)",741,0.050456216805120524,676,65,0.08771929824561403,-0.0985814955620774,0.0005110893642992356,6.386031369741982e-05,OPTIN_11SCN_ML
"[859.50, 1013.50)",2972,0.2023696037042081,2791,181,0.060901749663526246,0.29527090056109184,0.015596860560592236,0.0019425559523728979,OPTIN_11SCN_ML
"[1013.50, 1097.50)",2299,0.15654364701075854,2193,106,0.046107003044802086,0.5891993525964168,0.042585412575842786,0.005247489905907612,OPTIN_11SCN_ML
"[1097.50, 1148.50)",1514,0.10309137954514504,1454,60,0.03963011889035667,0.7473417941619598,0.042340566205077416,0.005172743783435933,OPTIN_11SCN_ML
"[1148.50, 1256.50)",2725,0.1855508647691679,2647,78,0.028623853211009173,1.084086073828105,0.1405769825674631,0.016759227545756972,OPTIN_11SCN_ML
"[1256.50, inf)",766,0.05215851831676427,758,8,0.010443864229765013,2.110854542253131,0.10409425790487052,0.011031999233830716,OPTIN_11SCN_ML
-998.0,50,0.0034046030232874848,48,2,0.04,0.7376665286385413,0.0013675979084654985,0.0001671762715423303,OPTIN_11SCN_ML
-997.0,0,0.0,0,0,0.0,0.0,0.0,0.0,OPTIN_11SCN_ML
"[0, 0.50)",2539,0.17288574152253847,2473,66,0.02599448601811737,1.1831452237855862,0.1502456914098879,0.01775665415672783,G5_ND_SPECII
"[0.50, 1.50)",3170,0.21585183167642652,3047,123,0.038801261829652996,0.7693411219038873,0.09312902065553161,0.011362271081118931,G5_ND_SPECII
"[1.50, 2.50)",1207,0.08218711698215989,1142,65,0.053852526926263466,0.4257618186109138,0.012479541459398873,0.0015482661268907986,G5_ND_SPECII
"[2.50, 5.00)",988,0.0672749557401607,928,60,0.06072874493927125,0.2982998688546954,0.005285242410485861,0.0006582166906787933,G5_ND_SPECII
"[5.00, 14.00)",1361,0.09267329429388534,1261,100,0.07347538574577517,0.09410284826742377,0.0007889027671412211,9.857647654215465e-05,G5_ND_SPECII
"[14.00, 40.00)",1960,0.1334604385128694,1708,252,0.12857142857142856,-0.5267380148723124,0.04617881853315513,0.005706533015214239,G5_ND_SPECII
