,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Feature
0,"(-997.0, 684.50)",1327,0.09519368723098996,1145,182,0.13715146948003015,-1.6058500899543888,0.5419992520794743,0.06129610093685588,OPTIN_11SCN_ML
1,"[684.50, 760.50)",1100,0.07890961262553801,1001,99,0.09,-1.1313683896853028,0.17604049930780824,0.020901781116871236,OPTIN_11SCN_ML
2,"[760.50, 814.50)",845,0.06061692969870875,796,49,0.05798816568047337,-0.6572244311321769,0.03599316846824324,0.0044198812805109865,OPTIN_11SCN_ML
3,"[814.50, 859.50)",699,0.05014347202295552,676,23,0.032904148783977114,-0.06430445875211932,0.00021371944033740393,2.6710328163203527e-05,OPTIN_11SCN_ML
4,"[859.50, 955.50)",1661,0.11915351506456241,1627,34,0.020469596628537028,0.4231292637369428,0.017581831396606493,0.0021814793885307545,OPTIN_11SCN_ML
5,"[955.50, 1025.50)",1469,0.10538020086083214,1449,20,0.013614703880190605,0.8378933499007584,0.05099260829816896,0.00619392582560567,OPTIN_11SCN_ML
6,"[1025.50, 1103.50)",2100,0.15064562410329985,2084,16,0.007619047619047619,1.4244523617675426,0.16686683877280575,0.01925640867818498,OPTIN_11SCN_ML
7,"[1103.50, 1132.50)",824,0.059110473457675755,822,2,0.0024271844660194173,2.5735898956303016,0.1446562176051327,0.014318956894415478,OPTIN_11SCN_ML
8,"[1132.50, inf)",3867,0.277403156384505,3861,6,0.0015515903801396431,3.021918708170248,0.8216244813375608,0.07571707822680193,OPTIN_11SCN_ML
9,-998.0,48,0.003443328550932568,48,0,0.0,0.0,0.0,0.0,OPTIN_11SCN_ML
10,-997.0,0,0.0,0,0,0.0,0.0,0.0,0.0,OPTIN_11SCN_ML
11,"(-1.0, 0.50)",2477,0.17769010043041608,2473,4,0.0016148566814695195,2.9818895875355924,0.5181999309367142,0.04806817763533408,G5_ND_SPECII
12,"[0.50, 1.50)",3062,0.21965566714490675,3047,15,0.004898758981058132,1.8688592590175652,0.35648593263485706,0.03903206638495173,G5_ND_SPECII
13,"[1.50, 2.50)",1150,0.0824964131994261,1142,8,0.006956521739130435,1.5160915296701862,0.10002375992566072,0.011428197039698166,G5_ND_SPECII
14,"[2.50, 5.00)",939,0.06736011477761837,928,11,0.011714589989350373,0.9901331411218965,0.04274692141316635,0.0051352644078179865,G5_ND_SPECII
15,"[5.00, 14.00)",1303,0.09347202295552368,1261,42,0.03223330775134305,-0.043012601184382326,0.00017646429483400824,2.2056336627450856e-05,G5_ND_SPECII
16,"[14.00, 40.00)",1818,0.130416068866571,1708,110,0.06050605060506051,-0.7024053103098344,0.09046010276784577,0.011080648789958358,G5_ND_SPECII
17,"[40.00, inf)",1212,0.08694404591104735,1114,98,0.08085808580858085,-1.0142583770492761,0.14698089511496462,0.017623500934459593,G5_ND_SPECII
18,-2.0,1217,0.08730272596843615,1158,59,0.04847986852917009,-0.4680911046387126,0.023952371887561004,0.002967008168089579,G5_ND_SPECII
19,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,G5_ND_SPECII
20,-3.0,721,0.05172166427546628,637,84,0.11650485436893204,-1.4190504621370836,0.20965312958577217,0.02420779834960397,G5_ND_SPECII
21,['I' 'P' 'D' 'M'],3341,0.2396700143472023,3330,11,0.0032924274169410356,2.2678289913101857,0.5011455082052224,0.05193670038953442,Marital_Status
22,['O' 'C'],814,0.05839311334289814,810,4,0.004914004914004914,1.8657365676806608,0.09455419373623791,0.010357032549667286,Marital_Status
23,['S' 'W' 'X'],2552,0.1830703012912482,2533,19,0.007445141065830721,1.4477173519693016,0.20763321491037753,0.023901356241886756,Marital_Status
24,['Q'],7233,0.5188665710186514,6836,397,0.054887321996405364,-0.5989815553176423,0.24862566773561107,0.030621793964045393,Marital_Status
25,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,Marital_Status
26,"(-1.0, 460.00)",892,0.06398852223816356,815,77,0.08632286995515695,-1.0856206274787548,0.12845512936338968,0.01531210315307368,SP_F2_33
27,"[460.00, 1175.00)",949,0.06807747489239599,885,64,0.06743940990516333,-0.8182987572176756,0.06790242955000096,0.008258644407485787,SP_F2_33
28,"[1175.00, 1710.00)",829,0.059469153515064564,801,28,0.033775633293124246,-0.09134688197277807,0.0005180640747747801,6.473550385265622e-05,SP_F2_33
29,"[1710.00, 3275.00)",1602,0.11492109038737446,1564,38,0.02372034956304619,0.27241244251293706,0.0075206579362859325,0.00093718622924984,SP_F2_33
30,"[3275.00, 4675.00)",1295,0.09289813486370158,1274,21,0.016216216216216217,0.6603910795427526,0.03010300333695971,0.003695955318346081,SP_F2_33
31,"[4675.00, 7025.00)",1969,0.14124820659971304,1957,12,0.006094464195022855,1.6492579987421427,0.19300302861853333,0.02171616542939621,SP_F2_33
32,"[7025.00, 11325.00)",2244,0.16097560975609757,2231,13,0.005793226381461676,1.7002525181050627,0.22951155620229546,0.025666505727651254,SP_F2_33
33,"[11325.00, inf)",1595,0.11441893830703014,1591,4,0.0025078369905956114,2.5408203483519625,0.2756601900612636,0.027424654561144873,SP_F2_33
34,-2.0,2524,0.18106169296987087,2350,174,0.06893819334389857,-0.8418880109422577,0.19342730221540602,0.02348875063900044,SP_F2_33
35,-1.0,41,0.0029411764705882353,41,0,0.0,0.0,0.0,0.0,SP_F2_33
36,"(-1.0, 1520.50)",1313,0.0941893830703013,1181,132,0.10053313023610053,-1.2536884252549418,0.274358807048814,0.0322118013260203,AFF_B_09_01
37,"[1520.50, 1682.50)",1210,0.08680057388809183,1136,74,0.06115702479338843,-0.7137998127890066,0.0625300404719502,0.007654434419309349,AFF_B_09_01
38,"[1682.50, 1858.50)",1029,0.07381635581061693,985,44,0.042759961127308066,-0.33655131161210594,0.009818485251774896,0.0012215510315762403,AFF_B_09_01
